# SNODAS data for basin GMRC2L_F, created on 2020-02-23,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,
# - The current water year is used for date for all data.,,,,,,,,,,,,,,,,,
# - Historical data years are shifted to current year.,,,,,,,,,,,,,,,,,
# - Leap year Feb 29 results in missing values (if no Feb 29 in historical year),,,,,,,,,,,,,,,,,
#   and discarded Feb 29 (if historical year is leap year but no Feb 29 in current year).,,,,,,,,,,,,,,,,,
# - The water year is shown in [square brackets].,,,,,,,,,,,,,,,,,
# - The units are shown in (parentheses).,,,,,,,,,,,,,,,,,
Date,"GMRC2L_F, SWE-Volume [2004] (acft)","GMRC2L_F, SWE-Volume [2005] (acft)","GMRC2L_F, SWE-Volume [2006] (acft)","GMRC2L_F, SWE-Volume [2007] (acft)","GMRC2L_F, SWE-Volume [2008] (acft)","GMRC2L_F, SWE-Volume [2009] (acft)","GMRC2L_F, SWE-Volume [2010] (acft)","GMRC2L_F, SWE-Volume [2011] (acft)","GMRC2L_F, SWE-Volume [2012] (acft)","GMRC2L_F, SWE-Volume [2013] (acft)","GMRC2L_F, SWE-Volume [2014] (acft)","GMRC2L_F, SWE-Volume [2015] (acft)","GMRC2L_F, SWE-Volume [2016] (acft)","GMRC2L_F, SWE-Volume [2017] (acft)","GMRC2L_F, SWE-Volume [2018] (acft)","GMRC2L_F, SWE-Volume [2019] (acft)","GMRC2L_F, SWE-Volume [2020] (acft)"
7/15/2020,0,0,0,0,31,0,0,1206,0,0,27,0,0,0,0,332,
7/16/2020,0,0,0,0,19,0,0,1018,0,0,7,0,0,0,0,228,
7/17/2020,0,0,0,0,8,0,0,816,0,0,0,0,0,0,0,103,
7/18/2020,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,21,
7/19/2020,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,
7/20/2020,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,
7/21/2020,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,
7/22/2020,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,
7/23/2020,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,
7/24/2020,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,
7/25/2020,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,
7/26/2020,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,
7/27/2020,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,
7/28/2020,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,
7/29/2020,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,
7/30/2020,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,
7/31/2020,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,
8/1/2020,0,,0,0,0,0,0,16,0,0,0,0,0,0,0,0,
8/2/2020,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,
8/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/20/2020,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
8/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/26/2020,0,0,,0,0,0,0,0,0,0,0,0,28,0,0,0,
8/27/2020,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,
8/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/29/2020,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,
8/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/31/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/5/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/6/2020,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/7/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/8/2020,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/13/2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,
9/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/15/2020,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,
9/16/2020,0,0,1,0,0,0,0,52,0,0,0,0,0,0,0,0,
9/17/2020,0,0,37,0,0,0,0,5,0,0,0,0,0,0,0,0,
9/18/2020,0,0,83,0,0,0,0,33,0,0,0,0,0,0,0,0,
9/19/2020,0,0,3,0,0,0,0,26,0,0,0,0,0,0,0,0,
9/20/2020,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,
9/21/2020,0,0,1234,0,0,0,0,1,0,0,0,0,0,0,0,0,
9/22/2020,3654,0,8501,0,0,2899,0,0,0,0,0,0,0,0,0,0,
9/23/2020,5517,0,15469,0,0,3342,0,0,0,3,0,0,0,0,0,0,
9/24/2020,4499,0,16143,0,0,2006,0,0,0,1520,0,0,57,57,0,0,
9/25/2020,3143,0,15229,435,0,1667,0,0,0,280,0,0,231,37,0,0,
9/26/2020,2184,0,13539,58,0,938,0,0,479,0,0,0,68,58,0,0,
9/27/2020,,0,10039,2,0,66,0,0,795,0,0,0,0,27,0,0,
9/28/2020,819,0,7537,0,0,0,0,0,967,1930,0,0,0,248,0,0,
9/29/2020,636,0,4111,0,0,0,0,0,724,546,0,0,0,531,0,0,
9/30/2020,755,0,,0,0,0,0,0,382,57,3029,0,0,307,0,0,
